127.0.0.1, 2017-03-09 13:14:54, GET, /, HTTP/1.1, 303, 0.001936
127.0.0.1, 2017-03-09 13:14:55, GET, /welcome/default/index, HTTP/1.1, 200, 0.890567
127.0.0.1, 2017-03-09 13:14:55, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000644
127.0.0.1, 2017-03-09 13:14:55, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001067
127.0.0.1, 2017-03-09 13:14:55, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000649
127.0.0.1, 2017-03-09 13:14:55, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000628
127.0.0.1, 2017-03-09 13:14:55, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000453
127.0.0.1, 2017-03-09 13:14:55, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000406
127.0.0.1, 2017-03-09 13:14:55, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001860
127.0.0.1, 2017-03-09 13:14:55, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000812
127.0.0.1, 2017-03-09 13:14:55, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000511
127.0.0.1, 2017-03-09 13:14:55, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000523
127.0.0.1, 2017-03-09 13:14:55, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000592
127.0.0.1, 2017-03-09 13:14:55, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000666
127.0.0.1, 2017-03-09 13:14:56, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000570
127.0.0.1, 2017-03-09 13:14:56, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001647
127.0.0.1, 2017-03-09 13:14:56, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001123
127.0.0.1, 2017-03-09 13:14:56, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000468
127.0.0.1, 2017-03-09 13:21:52, GET, /welcome/default/index, HTTP/1.1, 200, 0.074866
127.0.0.1, 2017-03-09 13:23:40, GET, /RepoWorks/default, HTTP/1.1, 200, 0.231859
127.0.0.1, 2017-03-09 13:23:40, GET, /RepoWorks/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000540
127.0.0.1, 2017-03-09 13:23:40, GET, /RepoWorks/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001720
127.0.0.1, 2017-03-09 13:23:40, GET, /RepoWorks/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001787
127.0.0.1, 2017-03-09 13:23:40, GET, /RepoWorks/static/js/calendar.js, HTTP/1.1, 200, 0.003301
127.0.0.1, 2017-03-09 13:23:40, GET, /RepoWorks/static/css/calendar.css, HTTP/1.1, 200, 0.008306
127.0.0.1, 2017-03-09 13:23:40, GET, /RepoWorks/static/js/jquery.js, HTTP/1.1, 200, 0.008731
127.0.0.1, 2017-03-09 13:23:40, GET, /RepoWorks/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000601
127.0.0.1, 2017-03-09 13:23:40, GET, /RepoWorks/static/js/web2py.js, HTTP/1.1, 200, 0.001227
127.0.0.1, 2017-03-09 13:23:40, GET, /RepoWorks/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000939
127.0.0.1, 2017-03-09 13:23:40, GET, /RepoWorks/static/js/share.js, HTTP/1.1, 200, 0.003029
127.0.0.1, 2017-03-09 13:23:41, GET, /RepoWorks/static/images/background.jpg, HTTP/1.1, 200, 0.000565
127.0.0.1, 2017-03-09 13:23:41, GET, /RepoWorks/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000714
127.0.0.1, 2017-03-09 13:23:41, GET, /RepoWorks/static/images/facebook.png, HTTP/1.1, 200, 0.001072
127.0.0.1, 2017-03-09 13:23:41, GET, /RepoWorks/static/images/twitter.png, HTTP/1.1, 200, 0.002660
127.0.0.1, 2017-03-09 13:23:41, GET, /RepoWorks/static/images/gplus-32.png, HTTP/1.1, 200, 0.003682
